FlightNumber,AircraftType,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,FlightDuration,FuelConsumed (kg),PayloadWeight (kg),PassengerCount,TaxiOutTime (min),TaxiInTime (min),ExpectedFuel (kg),FuelDifference (kg),RouteDistance (km),AltitudeLevel (ft),CruiseSpeed (km/h),FuelPerPassenger (kg),FuelPerKm (kg/km),EmissionEstimate (kg CO₂)
QR3375,A320,CAI,DEL,2025-01-25 14:00,2025-01-25 19:26,326,6675.63,6308,121,9,7,6583.08,92.55,4412.05,37533,810,55.17,1.513,21094.99
MS6329,A320,DOH,DXB,2025-11-05 13:12,2025-11-05 13:37,25,655.03,12898,177,26,5,628.98,26.05,378.52,36940,877,3.7,1.7305,2069.89
SV5727,A320,CAI,DXB,2025-10-27 16:52,2025-10-27 19:40,168,3635.36,16866,172,23,15,3528.66,106.7,2419.78,34250,863,21.14,1.5024,11487.74
MS9282,A320,JED,IST,2025-11-02 01:13,2025-11-02 04:15,182,3591.94,7300,164,28,23,3713.0,-121.06,2383.55,34159,782,21.9,1.507,11350.53
QR394,A320,IST,DEL,2025-12-20 17:17,2025-12-20 22:42,325,6914.33,17428,82,18,20,6674.28,240.05,4573.44,32359,843,84.32,1.5118,21849.28
EK8798,A320,CAI,KHI,2025-01-05 06:18,2025-01-05 10:40,262,5147.38,8813,180,28,9,5328.13,-180.75,3565.44,37828,815,28.6,1.4437,16265.72
AI581,A320,JED,CAI,2025-12-25 02:29,2025-12-25 03:55,86,1896.22,10418,163,13,16,1824.18,72.04,1214.94,35964,846,11.63,1.5607,5992.06
MS4600,A320,DEL,KHI,2025-03-09 20:31,2025-03-09 21:52,81,1720.68,15867,109,11,6,1778.67,-57.99,1067.83,31309,785,15.79,1.6114,5437.35
QR7093,A320,JED,IST,2025-10-02 11:00,2025-10-02 13:47,167,3522.35,16226,139,14,8,3502.26,20.09,2383.55,31682,855,25.34,1.4778,11130.63
SV2855,A320,JED,DOH,2025-04-26 03:49,2025-04-26 05:19,90,1914.52,9372,173,8,16,1893.72,20.8,1332.96,37044,885,11.07,1.4363,6049.88
PK3598,A320,KHI,JED,2025-10-06 18:34,2025-10-06 22:05,211,4136.07,12739,147,9,8,4347.39,-211.32,2882.63,32300,818,28.14,1.4348,13069.98
QR9057,A320,JED,DOH,2025-10-22 13:17,2025-10-22 14:47,90,1986.66,11498,83,6,17,1914.98,71.68,1332.96,34031,884,23.94,1.4904,6277.85
EK7273,A320,JED,DEL,2025-12-06 15:09,2025-12-06 19:30,261,5508.79,15601,110,12,24,5376.01,132.78,3886.02,34726,890,50.08,1.4176,17407.78
AI9104,A320,JED,IST,2025-08-07 10:13,2025-08-07 13:10,177,3490.85,11526,116,26,25,3655.26,-164.41,2383.55,30495,807,30.09,1.4646,11031.09
SV836,A320,IST,DXB,2025-12-01 08:24,2025-12-01 12:12,228,4807.06,14532,125,6,11,4705.32,101.74,3029.96,38880,794,38.46,1.5865,15190.31
EK6599,A320,DXB,DOH,2025-10-24 10:32,2025-10-24 10:57,25,558.95,7328,143,14,7,573.28,-14.33,378.52,33113,889,3.91,1.4767,1766.28
QR5143,A320,IST,KHI,2025-03-27 10:50,2025-03-27 15:21,271,5451.57,16716,100,21,11,5587.16,-135.59,3975.55,35337,880,54.52,1.3713,17226.96
QR3443,A320,DOH,IST,2025-01-08 04:22,2025-01-08 07:26,184,3629.0,11829,161,26,24,3798.29,-169.29,2756.39,31887,897,22.54,1.3166,11467.64
QR2109,A320,IST,CAI,2025-05-25 03:12,2025-05-25 04:45,93,2091.01,14717,121,15,21,2007.17,83.84,1261.41,38982,812,17.28,1.6577,6607.59
MS6211,A320,CAI,IST,2025-09-12 07:17,2025-09-12 08:47,90,1949.36,11566,130,9,18,1915.66,33.7,1261.41,34017,832,15.0,1.5454,6159.98
MS4199,A320,DXB,JED,2025-09-23 11:36,2025-09-23 13:36,120,2535.39,6318,173,21,12,2463.18,72.21,1702.17,33155,851,14.66,1.4895,8011.83
AI2072,A320,DEL,JED,2025-03-11 20:50,2025-03-12 01:09,259,5392.93,8622,134,22,6,5266.22,126.71,3886.02,33261,897,40.25,1.3878,17041.66
QR771,A320,KHI,DOH,2025-01-17 08:50,2025-01-17 10:38,108,2356.73,17810,106,20,11,2338.1,18.63,1568.56,32630,871,22.23,1.5025,7447.27
MS7479,A320,JED,IST,2025-02-02 00:47,2025-02-02 03:32,165,3498.4,7531,141,11,13,3375.31,123.09,2383.55,31076,862,24.81,1.4677,11054.94
TK3745,A320,DOH,KHI,2025-09-18 23:01,2025-09-19 00:51,110,2266.63,8952,108,15,9,2289.52,-22.89,1568.56,33463,849,20.99,1.445,7162.55
EK4112,A320,IST,JED,2025-11-28 14:32,2025-11-28 17:33,181,3807.28,15760,130,19,19,3777.6,29.68,2383.55,33216,789,29.29,1.5973,12031.0
SV9508,A320,KHI,IST,2025-09-17 19:11,2025-09-17 23:55,284,5549.84,12956,143,20,13,5809.56,-259.72,3975.55,32649,837,38.81,1.396,17537.49
MS3746,A320,KHI,JED,2025-05-18 01:44,2025-05-18 05:06,202,4013.84,10120,145,7,15,4141.2,-127.36,2882.63,36457,856,27.68,1.3924,12683.73
MS5461,A320,CAI,DOH,2025-05-26 03:27,2025-05-26 06:03,156,3124.95,11327,140,14,12,3233.27,-108.32,2060.93,38962,789,22.32,1.5163,9874.84
EK4786,A320,JED,IST,2025-12-19 11:26,2025-12-19 14:27,181,3765.52,9412,175,23,11,3714.12,51.4,2383.55,37433,787,21.52,1.5798,11899.04
MS5318,A320,CAI,IST,2025-02-27 13:39,2025-02-27 15:09,90,1894.3,10750,178,27,24,1907.5,-13.2,1261.41,34404,833,10.64,1.5017,5985.99
MS2149,A320,DEL,KHI,2025-02-03 10:16,2025-02-03 11:37,81,1677.67,7791,175,17,19,1697.91,-20.24,1067.83,36774,790,9.59,1.5711,5301.44
EK799,A320,CAI,DXB,2025-03-24 16:27,2025-03-24 19:23,176,3597.38,6396,165,25,18,3583.96,13.42,2419.78,38668,821,21.8,1.4867,11367.72
SV3077,A320,KHI,DOH,2025-09-13 07:00,2025-09-13 09:00,120,2538.27,13020,176,7,15,2530.2,8.07,1568.56,33561,781,14.42,1.6182,8020.93
QR8876,A320,DEL,IST,2025-01-12 15:40,2025-01-12 21:03,323,6700.76,13177,137,19,7,6591.77,108.99,4573.44,34636,849,48.91,1.4651,21174.4
SV7025,A320,KHI,JED,2025-12-17 14:45,2025-12-17 18:21,216,4548.71,6995,82,29,13,4389.95,158.76,2882.63,37791,798,55.47,1.578,14373.92
AI6434,A320,JED,KHI,2025-11-19 10:57,2025-11-19 14:21,204,4289.95,10590,140,29,24,4185.9,104.05,2882.63,33980,847,30.64,1.4882,13556.24
MS6333,A320,DXB,IST,2025-03-26 00:59,2025-03-26 04:35,216,4507.92,11884,167,24,14,4438.84,69.08,3029.96,31472,838,26.99,1.4878,14245.03
AI457,A320,DEL,KHI,2025-03-09 20:31,2025-03-09 21:46,75,1661.26,15678,126,30,12,1656.78,4.48,1067.83,30457,849,13.18,1.5557,5249.58
SV5951,A320,DOH,CAI,2025-12-25 04:01,2025-12-25 06:37,156,3133.04,13531,165,16,6,3255.31,-122.27,2060.93,36370,792,18.99,1.5202,9900.41
SV8455,A320,DXB,CAI,2025-10-28 16:06,2025-10-28 18:57,171,3523.83,9367,81,7,11,3513.67,10.16,2419.78,31837,848,43.5,1.4563,11135.3
SV2192,A320,JED,DXB,2025-03-19 17:27,2025-03-19 19:29,122,2559.27,12162,124,24,7,2561.62,-2.35,1702.17,35835,835,20.64,1.5035,8087.29
SV9460,A320,DEL,JED,2025-09-15 05:41,2025-09-15 10:24,283,5888.35,10618,104,6,20,5766.18,122.17,3886.02,36684,822,56.62,1.5153,18607.19
TK1102,A320,DEL,KHI,2025-10-26 16:37,2025-10-26 17:56,79,1767.56,12831,93,9,6,1708.31,59.25,1067.83,33758,807,19.01,1.6553,5585.49
EK7405,A320,DEL,DXB,2025-01-01 13:06,2025-01-01 15:43,157,3435.01,17530,138,21,9,3315.3,119.71,2186.68,38371,831,24.89,1.5709,10854.63
AI9494,A320,DOH,KHI,2025-03-18 07:26,2025-03-18 09:25,119,2625.11,17461,107,8,14,2554.61,70.5,1568.56,32089,786,24.53,1.6736,8295.35
PK3868,A320,JED,KHI,2025-12-21 20:47,2025-12-22 00:05,198,3999.06,9888,83,24,19,4058.88,-59.82,2882.63,34447,873,48.18,1.3873,12637.03
PK2379,A320,DOH,CAI,2025-06-13 18:14,2025-06-13 20:37,143,3082.94,14687,112,15,11,3006.87,76.07,2060.93,33051,859,27.53,1.4959,9742.09
MS5054,A320,IST,DOH,2025-01-18 16:43,2025-01-18 19:58,195,4035.49,8349,97,22,19,3983.49,52.0,2756.39,36300,847,41.6,1.4641,12752.15
SV4840,A320,KHI,DXB,2025-03-04 06:09,2025-03-04 07:33,84,1854.96,14953,119,12,5,1829.53,25.43,1190.18,34219,849,15.59,1.5585,5861.67
TK5711,A320,DXB,CAI,2025-08-25 16:42,2025-08-25 19:39,177,3785.31,9489,151,28,14,3634.89,150.42,2419.78,38364,818,25.07,1.5643,11961.58
QR9913,A320,DEL,DOH,2025-01-24 09:45,2025-01-24 12:36,171,3443.46,9937,117,29,10,3519.37,-75.91,2553.18,37232,891,29.43,1.3487,10881.33
PK3047,A320,CAI,DEL,2025-05-17 19:39,2025-05-18 00:36,297,5831.7,15275,97,19,6,6092.75,-261.05,4412.05,32253,891,60.12,1.3218,18428.17
PK9306,A320,DOH,JED,2025-10-13 01:34,2025-10-13 03:07,93,2048.15,16256,134,20,16,2022.56,25.59,1332.96,38043,853,15.28,1.5365,6472.15
PK6086,A320,DEL,CAI,2025-09-14 19:12,2025-09-15 00:41,329,6576.0,10375,107,14,16,6683.75,-107.75,4412.05,38559,804,61.46,1.4905,20780.16
QR6319,A320,CAI,IST,2025-05-04 19:08,2025-05-04 20:40,92,1832.22,6227,142,18,6,1902.27,-70.05,1261.41,35816,821,12.9,1.4525,5789.82
TK7407,A320,IST,DXB,2025-12-11 23:50,2025-12-12 03:32,222,4389.41,15605,153,22,19,4596.05,-206.64,3029.96,32169,818,28.69,1.4487,13870.54
MS5359,A320,DXB,CAI,2025-08-10 23:40,2025-08-11 02:44,184,3758.67,10764,178,11,6,3787.64,-28.97,2419.78,36720,789,21.12,1.5533,11877.4
EK2720,A320,JED,DXB,2025-07-03 21:09,2025-07-03 23:17,128,2747.55,8295,160,29,13,2642.95,104.6,1702.17,34790,793,17.17,1.6141,8682.26
QR3162,A320,DOH,CAI,2025-09-18 20:55,2025-09-18 23:12,137,2811.15,17924,128,6,16,2919.24,-108.09,2060.93,30482,897,21.96,1.364,8883.23
QR263,A320,DOH,CAI,2025-07-12 05:30,2025-07-12 08:07,157,3324.0,16680,169,26,14,3306.8,17.2,2060.93,33768,785,19.67,1.6129,10503.84
QR1168,A320,DEL,DOH,2025-02-18 06:08,2025-02-18 09:16,188,3791.41,9692,93,20,15,3856.92,-65.51,2553.18,35351,813,40.77,1.485,11980.86
SV7117,A320,DOH,KHI,2025-12-18 22:31,2025-12-19 00:24,113,2492.62,15326,168,21,8,2413.26,79.36,1568.56,35954,832,14.84,1.5891,7876.68
AI4229,A320,JED,KHI,2025-04-27 06:28,2025-04-27 09:57,209,4531.51,13903,139,7,19,4319.03,212.48,2882.63,38610,827,32.6,1.572,14319.57
QR7769,A320,DOH,IST,2025-05-16 18:10,2025-05-16 21:34,204,4367.64,17366,162,11,7,4253.66,113.98,2756.39,36855,809,26.96,1.5846,13801.74
PK7542,A320,CAI,IST,2025-10-20 03:30,2025-10-20 04:56,86,1811.96,6225,148,6,12,1782.25,29.71,1261.41,36252,875,12.24,1.4365,5725.79
TK6565,A320,DEL,DXB,2025-05-07 19:12,2025-05-07 21:38,146,3001.61,14457,131,22,19,3064.57,-62.96,2186.68,33241,896,22.91,1.3727,9485.09
PK3948,A320,DEL,KHI,2025-01-25 22:50,2025-01-26 00:05,75,1682.47,17896,111,27,18,1678.96,3.51,1067.83,34598,847,15.16,1.5756,5316.61
MS3991,A320,JED,DEL,2025-02-14 14:53,2025-02-14 19:39,286,6046.89,7308,147,24,11,5793.08,253.81,3886.02,33366,813,41.14,1.5561,19108.17
PK8331,A320,DEL,DOH,2025-07-21 03:30,2025-07-21 06:38,188,3884.61,7266,109,14,5,3832.66,51.95,2553.18,38713,811,35.64,1.5215,12275.37
EK9637,A320,KHI,CAI,2025-08-11 19:51,2025-08-12 00:08,257,5216.28,14628,81,7,10,5286.28,-70.0,3565.44,33734,832,64.4,1.463,16483.44
QR5949,A320,JED,DXB,2025-04-14 03:42,2025-04-14 05:36,114,2421.69,10097,147,8,10,2380.97,40.72,1702.17,35344,893,16.47,1.4227,7652.54
EK6924,A320,CAI,DXB,2025-04-21 16:26,2025-04-21 19:13,167,3604.03,9473,105,9,11,3434.73,169.3,2419.78,31359,867,34.32,1.4894,11388.73
TK9442,A320,IST,DOH,2025-09-03 17:21,2025-09-03 20:33,192,4096.82,9002,122,15,9,3930.02,166.8,2756.39,31006,857,33.58,1.4863,12945.95
AI1852,A320,JED,KHI,2025-09-02 15:42,2025-09-02 18:55,193,3796.72,8414,173,10,11,3944.14,-147.42,2882.63,34471,896,21.95,1.3171,11997.64
AI9224,A320,DOH,DXB,2025-03-14 04:10,2025-03-14 04:38,28,734.09,14692,180,26,17,706.9200000000001,27.17,378.52,35189,792,4.08,1.9394,2319.72
MS3450,A320,DOH,DXB,2025-06-13 08:38,2025-06-13 09:04,26,598.03,9669,161,20,18,616.69,-18.66,378.52,32851,858,3.71,1.5799,1889.77
TK9907,A320,DOH,IST,2025-04-28 01:23,2025-04-28 04:30,187,4029.16,12605,160,6,7,3866.05,163.11,2756.39,35128,883,25.18,1.4618,12732.15
PK1303,A320,DOH,JED,2025-12-26 13:36,2025-12-26 15:06,90,2044.55,17584,157,20,7,1975.84,68.71,1332.96,37515,884,13.02,1.5338,6460.78
MS2895,A320,KHI,JED,2025-04-16 08:01,2025-04-16 11:26,205,4212.55,9183,144,5,10,4191.83,20.72,2882.63,38904,842,29.25,1.4614,13311.66
PK9024,A320,DOH,DXB,2025-06-25 14:33,2025-06-25 15:01,28,758.7,17556,178,6,13,735.56,23.14,378.52,35443,788,4.26,2.0044,2397.49
PK3006,A320,IST,KHI,2025-06-23 18:45,2025-06-23 23:14,269,5252.54,8752,124,21,10,5467.52,-214.98,3975.55,32793,885,42.36,1.3212,16598.03
AI4267,A320,KHI,DEL,2025-03-07 20:32,2025-03-07 21:46,74,1629.94,15779,121,12,21,1637.79,-7.85,1067.83,30547,855,13.47,1.5264,5150.61
PK5849,A320,DOH,DXB,2025-02-09 18:16,2025-02-09 18:41,25,547.67,7346,107,27,12,573.46,-25.79,378.52,30310,884,5.12,1.4469,1730.64
PK2613,A320,CAI,JED,2025-10-07 13:45,2025-10-07 15:17,92,1820.95,6149,164,12,20,1901.49,-80.54,1214.94,30328,790,11.1,1.4988,5754.2
MS5281,A320,KHI,DEL,2025-04-25 21:03,2025-04-25 22:15,72,1653.53,16381,152,14,12,1603.81,49.72,1067.83,36735,885,10.88,1.5485,5225.15
AI324,A320,CAI,DOH,2025-03-03 13:34,2025-03-03 15:58,144,2908.33,12792,86,8,6,3007.92,-99.59,2060.93,37519,856,33.82,1.4112,9190.32
AI7705,A320,DOH,DEL,2025-06-08 01:46,2025-06-08 04:50,184,3713.97,10203,163,27,21,3782.03,-68.06,2553.18,30865,829,22.79,1.4546,11736.15
MS9463,A320,CAI,DEL,2025-07-13 07:00,2025-07-13 11:59,299,5932.05,6016,140,17,17,6040.16,-108.11,4412.05,32086,883,42.37,1.3445,18745.28
TK3317,A320,DXB,DEL,2025-05-24 01:41,2025-05-24 04:11,150,3179.49,9039,81,25,19,3090.39,89.1,2186.68,30250,869,39.25,1.454,10047.19
TK7513,A320,IST,KHI,2025-07-12 16:40,2025-07-12 21:20,280,5753.76,12266,178,23,12,5722.66,31.1,3975.55,35622,851,32.32,1.4473,18181.88
MS5445,A320,KHI,IST,2025-03-19 20:16,2025-03-20 00:42,266,5302.78,12152,102,25,23,5441.52,-138.74,3975.55,30521,895,51.99,1.3338,16756.78
TK3922,A320,CAI,KHI,2025-01-02 07:49,2025-01-02 12:08,259,5239.79,14986,123,26,19,5329.86,-90.07,3565.44,35872,824,42.6,1.4696,16557.74
EK4804,A320,CAI,DOH,2025-01-12 15:24,2025-01-12 18:00,156,3225.44,13292,169,27,19,3252.92,-27.48,2060.93,36042,788,19.09,1.565,10192.39
TK414,A320,CAI,JED,2025-09-22 00:20,2025-09-22 01:43,83,1755.43,11060,100,20,9,1770.6,-15.17,1214.94,34350,876,17.55,1.4449,5547.16
PK1804,A320,DXB,IST,2025-04-28 17:02,2025-04-28 20:28,206,4232.02,6761,177,22,18,4187.61,44.41,3029.96,37440,879,23.91,1.3967,13373.18
PK1551,A320,DEL,DOH,2025-07-07 17:50,2025-07-07 20:54,184,3911.71,10128,80,5,12,3781.28,130.43,2553.18,35214,831,48.9,1.5321,12361.0
EK754,A320,JED,DXB,2025-11-26 20:03,2025-11-26 22:13,130,2852.99,15850,109,25,24,2758.5,94.49,1702.17,30310,780,26.17,1.6761,9015.45
SV4555,A320,DOH,DEL,2025-03-28 07:18,2025-03-28 10:09,171,3608.47,9599,134,28,23,3515.99,92.48,2553.18,33306,893,26.93,1.4133,11402.77
QR8062,A320,DXB,CAI,2025-11-25 17:32,2025-11-25 20:20,168,3436.2,9971,125,20,12,3459.71,-23.51,2419.78,36991,863,27.49,1.42,10858.39
MS3521,A320,DEL,DOH,2025-04-24 18:20,2025-04-24 21:31,191,4049.52,11336,134,11,16,3933.36,116.16,2553.18,37568,800,30.22,1.5861,12796.48
EK7607,A320,DEL,CAI,2025-08-04 14:57,2025-08-04 20:35,338,6976.1,15715,166,21,15,6917.15,58.95,4412.05,31199,782,42.02,1.5811,22044.48
QR992,A320,DEL,IST,2025-07-18 03:30,2025-07-18 08:40,310,6339.99,11746,116,15,9,6317.46,22.53,4573.44,32050,884,54.66,1.3863,20034.37
QR4241,A320,DXB,JED,2025-11-10 22:23,2025-11-11 00:23,120,2620.92,14421,124,25,22,2544.21,76.71,1702.17,35415,850,21.14,1.5398,8282.11
AI4447,A320,DXB,DEL,2025-06-14 18:20,2025-06-14 20:51,151,3187.82,8072,82,17,21,3100.72,87.1,2186.68,34181,868,38.88,1.4578,10073.51
QR7208,A320,JED,DEL,2025-03-08 23:24,2025-03-09 04:14,290,6235.16,15927,91,23,14,5959.27,275.89,3886.02,31041,804,68.52,1.6045,19703.11
MS3653,A320,JED,DEL,2025-12-12 05:04,2025-12-12 09:30,266,5203.02,9066,121,8,15,5410.66,-207.64,3886.02,38276,875,43.0,1.3389,16441.54
AI9216,A320,IST,CAI,2025-11-23 12:57,2025-11-23 14:29,92,2057.6,16478,163,7,18,2004.78,52.82,1261.41,38837,819,12.62,1.6312,6502.02
SV5289,A320,CAI,DEL,2025-12-23 15:56,2025-12-23 20:51,295,5870.31,9971,142,21,15,5999.71,-129.4,4412.05,35095,897,41.34,1.3305,18550.18
TK6187,A320,JED,DOH,2025-10-28 13:29,2025-10-28 15:04,95,2124.84,15548,142,24,18,2055.48,69.36,1332.96,34398,836,14.96,1.5941,6714.49
MS3148,A320,DXB,JED,2025-03-03 02:42,2025-03-03 04:38,116,2359.71,8952,115,21,22,2409.52,-49.81,1702.17,32309,879,20.52,1.3863,7456.68
TK5898,A320,DXB,KHI,2025-04-17 07:24,2025-04-17 08:48,84,1679.16,8203,163,9,25,1762.03,-82.87,1190.18,31670,850,10.3,1.4108,5306.15
TK3688,A320,IST,DOH,2025-08-13 17:24,2025-08-13 20:54,210,4396.57,17874,153,28,12,4378.74,17.83,2756.39,31296,786,28.74,1.595,13893.16
QR5669,A320,DOH,DXB,2025-01-11 01:35,2025-01-11 02:01,26,580.61,6655,109,15,22,586.55,-5.94,378.52,30217,857,5.33,1.5339,1834.73
PK1324,A320,DXB,DOH,2025-02-09 08:15,2025-02-09 08:41,26,638.63,11938,108,13,11,639.38,-0.75,378.52,35652,853,5.91,1.6872,2018.07
AI6245,A320,JED,IST,2025-05-14 10:33,2025-05-14 13:12,159,3150.99,10442,83,16,19,3284.42,-133.43,2383.55,30960,898,37.96,1.322,9957.13
PK1794,A320,DOH,KHI,2025-08-02 09:01,2025-08-02 10:55,114,2405.41,16281,143,20,22,2442.81,-37.4,1568.56,35344,822,16.82,1.5335,7601.1
MS1695,A320,DEL,DOH,2025-09-23 14:00,2025-09-23 17:11,191,4091.61,10617,175,25,9,3926.17,165.44,2553.18,33592,799,23.38,1.6026,12929.49
TK5368,A320,JED,DEL,2025-01-26 06:37,2025-01-26 10:57,260,5291.53,9688,80,30,25,5296.88,-5.35,3886.02,31537,894,66.14,1.3617,16721.23
EK1004,A320,DOH,DXB,2025-06-28 06:30,2025-06-28 06:55,25,642.76,16550,120,20,21,665.5,-22.74,378.52,31262,891,5.36,1.6981,2031.12
EK1082,A320,DXB,IST,2025-01-18 13:27,2025-01-18 16:53,206,4310.78,10792,94,9,19,4227.92,82.86,3029.96,34745,881,45.86,1.4227,13622.06
TK1123,A320,DEL,DXB,2025-10-03 16:22,2025-10-03 19:03,161,3326.62,7060,156,12,18,3290.6,36.02,2186.68,37275,811,21.32,1.5213,10512.12
AI9301,A320,JED,CAI,2025-01-06 12:54,2025-01-06 14:18,84,1836.46,15648,81,26,10,1836.48,-0.02,1214.94,33925,859,22.67,1.5116,5803.21
AI5198,A320,CAI,IST,2025-04-08 14:52,2025-04-08 16:21,89,1884.01,17414,171,9,10,1954.14,-70.13,1261.41,32163,846,11.02,1.4936,5953.47
MS4684,A320,JED,CAI,2025-01-17 10:01,2025-01-17 11:23,82,1841.31,11514,120,5,15,1755.14,86.17,1214.94,31931,881,15.34,1.5156,5818.54
PK6059,A320,DXB,CAI,2025-09-01 01:12,2025-09-01 04:00,168,3430.55,17002,140,18,21,3530.02,-99.47,2419.78,35827,862,24.5,1.4177,10840.54
TK9530,A320,DOH,IST,2025-04-18 22:31,2025-04-19 02:00,209,4130.96,8683,160,30,8,4266.83,-135.87,2756.39,36473,791,25.82,1.4987,13053.83
SV7071,A320,CAI,DXB,2025-01-01 01:08,2025-01-01 04:06,178,3846.84,15790,112,15,12,3717.9,128.94,2419.78,31056,814,34.35,1.5898,12156.01
MS1419,A320,DXB,JED,2025-08-01 21:20,2025-08-01 23:25,125,2773.47,14365,168,28,6,2643.65,129.82,1702.17,37421,813,16.51,1.6294,8764.17
PK1448,A320,DXB,IST,2025-01-28 10:52,2025-01-28 14:43,231,4948.0,14439,148,7,22,4764.39,183.61,3029.96,34893,787,33.43,1.633,15635.68
SV7721,A320,DXB,IST,2025-08-21 09:35,2025-08-21 13:03,208,4092.26,14700,103,25,14,4307.0,-214.74,3029.96,34176,870,39.73,1.3506,12931.54
TK9469,A320,DXB,CAI,2025-02-19 10:42,2025-02-19 13:33,171,3618.43,14430,166,23,24,3564.3,54.13,2419.78,31859,847,21.8,1.4954,11434.24
AI4603,A320,JED,DOH,2025-12-24 07:12,2025-12-24 08:42,90,1940.63,9264,155,19,24,1892.64,47.99,1332.96,32053,888,12.52,1.4559,6132.39
QR7793,A320,DOH,CAI,2025-02-23 14:55,2025-02-23 17:15,140,2900.45,6980,99,29,17,2869.8,30.65,2060.93,31542,882,29.3,1.4073,9165.42
MS3898,A320,JED,KHI,2025-05-12 17:59,2025-05-12 21:18,199,4254.87,15507,123,24,17,4135.07,119.8,2882.63,35489,866,34.59,1.476,13445.39
EK408,A320,IST,KHI,2025-08-12 20:46,2025-08-13 01:39,293,6189.19,10781,130,29,13,5967.81,221.38,3975.55,31111,812,47.61,1.5568,19557.84
EK936,A320,IST,DEL,2025-01-19 02:51,2025-01-19 08:03,312,6389.69,7737,105,21,19,6317.37,72.32,4573.44,36326,878,60.85,1.3971,20191.42
SV1076,A320,DXB,DOH,2025-09-03 18:02,2025-09-03 18:28,26,573.1,6424,89,20,20,584.24,-11.14,378.52,38592,872,6.44,1.514,1811.0
TK5118,A320,JED,CAI,2025-07-20 08:16,2025-07-20 09:38,82,1756.41,12698,86,12,15,1766.98,-10.57,1214.94,32524,879,20.42,1.4457,5550.26
AI407,A320,DEL,DXB,2025-01-15 00:22,2025-01-15 03:01,159,3257.57,12473,93,8,22,3304.73,-47.16,2186.68,36340,825,35.03,1.4897,10293.92
TK2219,A320,DOH,DEL,2025-06-14 08:34,2025-06-14 11:35,181,3703.66,8779,112,17,24,3707.79,-4.13,2553.18,30473,844,33.07,1.4506,11703.57
MS4784,A320,DEL,IST,2025-02-28 09:13,2025-02-28 14:57,344,7293.18,8428,154,11,12,6964.28,328.9,4573.44,35638,797,47.36,1.5947,23046.45
AI7042,A320,KHI,DOH,2025-03-10 21:57,2025-03-10 23:55,118,2439.89,15595,124,19,5,2515.95,-76.06,1568.56,37096,793,19.68,1.5555,7710.05
PK8110,A320,DOH,IST,2025-03-04 09:58,2025-03-04 13:19,201,4315.0,17227,165,15,14,4192.27,122.73,2756.39,31795,821,26.15,1.5655,13635.4
EK7937,A320,IST,DOH,2025-08-08 05:11,2025-08-08 08:37,206,4141.85,16527,90,12,10,4285.27,-143.42,2756.39,34611,800,46.02,1.5026,13088.25
SV8638,A320,DEL,CAI,2025-08-05 23:24,2025-08-06 04:34,310,6577.56,15343,115,24,7,6353.43,224.13,4412.05,35321,853,57.2,1.4908,20785.09
QR1633,A320,DXB,CAI,2025-02-07 01:56,2025-02-07 04:43,167,3290.74,11873,147,23,12,3458.73,-167.99,2419.78,33343,867,22.39,1.3599,10398.74
EK5970,A320,CAI,DEL,2025-10-08 20:37,2025-10-09 02:10,333,6566.06,9244,171,18,13,6752.44,-186.38,4412.05,38246,793,38.4,1.4882,20748.75
TK9590,A320,CAI,DOH,2025-06-04 12:23,2025-06-04 14:43,140,3010.43,6808,154,12,20,2868.08,142.35,2060.93,37230,883,19.55,1.4607,9512.96
SV6119,A320,DXB,DOH,2025-04-20 22:22,2025-04-20 22:50,28,694.1,11780,173,5,13,677.8,16.3,378.52,30480,789,4.01,1.8337,2193.36
SV7563,A320,KHI,JED,2025-03-09 16:51,2025-03-09 20:15,204,4138.03,16233,81,15,17,4242.33,-104.3,2882.63,34670,846,51.09,1.4355,13076.17
SV7419,A320,JED,DXB,2025-07-18 23:53,2025-07-19 01:56,123,2712.2,15972,122,6,10,2619.72,92.48,1702.17,31602,826,22.23,1.5934,8570.55
AI6810,A320,IST,DOH,2025-09-12 20:35,2025-09-12 23:43,188,3971.67,7431,174,25,7,3834.31,137.36,2756.39,35139,876,22.83,1.4409,12550.48
QR140,A320,JED,KHI,2025-09-07 01:17,2025-09-07 04:34,197,4172.92,8405,133,6,19,4024.05,148.87,2882.63,31658,874,31.38,1.4476,13186.43
SV9333,A320,DOH,DXB,2025-09-06 10:04,2025-09-06 10:30,26,685.29,15854,100,25,22,678.54,6.75,378.52,30119,854,6.85,1.8104,2165.52
PK3426,A320,KHI,IST,2025-01-01 23:45,2025-01-02 04:25,280,5881.47,6213,87,28,13,5662.13,219.34,3975.55,38384,851,67.6,1.4794,18585.45
QR4626,A320,KHI,CAI,2025-12-05 20:48,2025-12-06 00:55,247,5342.36,16373,128,17,23,5103.73,238.63,3565.44,38284,866,41.74,1.4984,16881.86
AI715,A320,DXB,IST,2025-07-23 00:49,2025-07-23 04:26,217,4533.21,12960,91,23,16,4469.6,63.61,3029.96,33851,834,49.82,1.4961,14324.94
SV1721,A320,JED,DOH,2025-08-28 16:16,2025-08-28 17:49,93,1972.23,12203,127,25,19,1982.03,-9.8,1332.96,37812,853,15.53,1.4796,6232.25
